trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,sharpe,section
現貨開盤,20,10,5,33,54.5,45.5,0.0,54.5,780,24.0,-14.0,2.47,09:00_filter
現貨開盤,20,15,5,33,57.6,42.4,0.0,57.6,380,12.0,-19.0,1.04,09:00_filter
現貨開盤,20,20,5,33,57.6,42.4,0.0,57.6,-320,-10.0,-24.0,-0.77,09:00_filter
現貨開盤,20,30,5,33,66.7,33.3,0.0,66.7,-220,-7.0,-34.0,-0.44,09:00_filter
現貨開盤,20,0,10,33,97.0,0.0,3.0,97.0,2920,88.0,-220.0,3.42,09:00_filter
現貨開盤,20,10,10,33,54.5,45.5,0.0,54.5,780,24.0,-14.0,2.47,09:00_filter
現貨開盤,20,15,10,33,57.6,42.4,0.0,57.6,380,12.0,-19.0,1.04,09:00_filter
現貨開盤,20,20,10,33,57.6,42.4,0.0,57.6,-320,-10.0,-24.0,-0.77,09:00_filter
現貨開盤,20,30,10,33,66.7,33.3,0.0,66.7,-220,-7.0,-34.0,-0.44,09:00_filter
現貨開盤,20,0,15,33,97.0,0.0,3.0,97.0,3900,118.0,-122.0,7.81,09:00_filter
現貨開盤,20,10,15,33,54.5,45.5,0.0,54.5,780,24.0,-14.0,2.47,09:00_filter
現貨開盤,20,15,15,33,57.6,42.4,0.0,57.6,380,12.0,-19.0,1.04,09:00_filter
現貨開盤,20,20,15,33,57.6,42.4,0.0,57.6,-320,-10.0,-24.0,-0.77,09:00_filter
現貨開盤,20,30,15,33,66.7,33.3,0.0,66.7,-220,-7.0,-34.0,-0.44,09:00_filter
期貨開盤,5,0,3,30,96.7,0.0,3.3,96.7,50,2.0,-24.0,0.58,08:46_night
期貨開盤,5,10,3,30,93.3,6.7,0.0,93.3,0,0.0,-14.0,0.0,08:46_night
期貨開盤,5,15,3,30,93.3,6.7,0.0,93.3,-100,-3.0,-19.0,-1.04,08:46_night
期貨開盤,5,20,3,30,93.3,6.7,0.0,93.3,-200,-7.0,-24.0,-1.67,08:46_night
期貨開盤,5,30,3,30,93.3,6.7,0.0,93.3,-400,-13.0,-34.0,-2.38,08:46_night
期貨開盤,5,0,5,30,96.7,0.0,3.3,96.7,-10,-0.0,-30.0,-0.09,08:46_night
期貨開盤,5,10,5,30,93.3,6.7,0.0,93.3,0,0.0,-14.0,0.0,08:46_night
期貨開盤,5,15,5,30,93.3,6.7,0.0,93.3,-100,-3.0,-19.0,-1.04,08:46_night
期貨開盤,5,20,5,30,93.3,6.7,0.0,93.3,-200,-7.0,-24.0,-1.67,08:46_night
期貨開盤,5,30,5,30,93.3,6.7,0.0,93.3,-400,-13.0,-34.0,-2.38,08:46_night
期貨開盤,5,0,10,30,100.0,0.0,0.0,100.0,300,10.0,0.0,0.0,08:46_night
期貨開盤,5,10,10,30,93.3,6.7,0.0,93.3,0,0.0,-14.0,0.0,08:46_night
期貨開盤,5,15,10,30,93.3,6.7,0.0,93.3,-100,-3.0,-19.0,-1.04,08:46_night
期貨開盤,5,20,10,30,93.3,6.7,0.0,93.3,-200,-7.0,-24.0,-1.67,08:46_night
期貨開盤,5,30,10,30,93.3,6.7,0.0,93.3,-400,-13.0,-34.0,-2.38,08:46_night
期貨開盤,5,0,15,30,100.0,0.0,0.0,100.0,300,10.0,0.0,0.0,08:46_night
期貨開盤,5,10,15,30,93.3,6.7,0.0,93.3,0,0.0,-14.0,0.0,08:46_night
期貨開盤,5,15,15,30,93.3,6.7,0.0,93.3,-100,-3.0,-19.0,-1.04,08:46_night
期貨開盤,5,20,15,30,93.3,6.7,0.0,93.3,-200,-7.0,-24.0,-1.67,08:46_night
期貨開盤,5,30,15,30,93.3,6.7,0.0,93.3,-400,-13.0,-34.0,-2.38,08:46_night
期貨開盤,8,0,3,30,93.3,0.0,6.7,93.3,-220,-7.0,-67.0,-0.55,08:46_night
期貨開盤,8,10,3,30,86.7,13.3,0.0,86.7,480,16.0,-14.0,4.08,08:46_night
期貨開盤,8,15,3,30,86.7,13.3,0.0,86.7,280,9.0,-19.0,1.86,08:46_night
期貨開盤,8,20,3,30,86.7,13.3,0.0,86.7,80,3.0,-24.0,0.44,08:46_night
期貨開盤,8,30,3,30,86.7,13.3,0.0,86.7,-320,-11.0,-34.0,-1.29,08:46_night
期貨開盤,8,0,5,30,93.3,0.0,6.7,93.3,-20,-1.0,-57.0,-0.06,08:46_night
期貨開盤,8,10,5,30,86.7,13.3,0.0,86.7,480,16.0,-14.0,4.08,08:46_night
期貨開盤,8,15,5,30,86.7,13.3,0.0,86.7,280,9.0,-19.0,1.86,08:46_night
期貨開盤,8,20,5,30,86.7,13.3,0.0,86.7,80,3.0,-24.0,0.44,08:46_night
期貨開盤,8,30,5,30,86.7,13.3,0.0,86.7,-320,-11.0,-34.0,-1.29,08:46_night
期貨開盤,8,0,10,30,96.7,0.0,3.3,96.7,320,11.0,-84.0,1.05,08:46_night
